sim_time,mode,vehicles_alive,pedestrians_alive,vehicles_spawned,vehicles_exited,pedestrians_spawned,pedestrians_exited,vehicle_throughput_per_min,pedestrian_throughput_per_min
5.00,mqtt-smart,7,6,7,0,6,0,0.00,0.00
10.01,mqtt-smart,10,10,14,4,10,0,23.97,0.00
15.02,mqtt-smart,15,15,21,6,15,0,23.97,0.00
20.04,mqtt-smart,15,16,24,9,20,4,26.95,11.98
25.06,mqtt-smart,16,19,29,13,24,5,31.12,11.97
30.08,mqtt-smart,14,23,33,19,28,5,37.90,9.97
35.10,mqtt-smart,14,16,40,26,33,17,44.44,29.06
40.13,mqtt-smart,18,19,45,27,38,19,40.37,28.41
45.15,mqtt-smart,23,23,53,30,42,19,39.87,25.25
50.19,mqtt-smart,22,27,56,34,46,19,40.65,22.71
55.23,mqtt-smart,14,19,58,44,52,33,47.80,35.85
60.27,mqtt-smart,16,22,64,48,56,34,47.79,33.85
65.31,mqtt-smart,12,12,67,55,60,48,50.53,44.09
70.35,mqtt-smart,14,17,74,60,67,50,51.17,42.64
75.38,mqtt-smart,18,19,80,62,71,52,49.35,41.39
80.40,mqtt-smart,23,24,87,64,76,52,47.76,38.81
85.43,mqtt-smart,18,28,90,72,80,52,50.57,36.52
90.45,mqtt-smart,12,20,92,80,86,66,53.07,43.78
95.46,mqtt-smart,16,24,98,82,90,66,51.54,41.48
100.48,mqtt-smart,12,14,102,90,94,80,53.74,47.77
105.50,mqtt-smart,17,17,111,94,99,82,53.46,46.64
110.54,mqtt-smart,19,20,115,96,104,84,52.11,45.60
115.58,mqtt-smart,23,24,122,99,108,84,51.39,43.61
120.60,mqtt-smart,17,16,125,108,112,96,53.73,47.76
