sim_time,mode,vehicles_alive,pedestrians_alive,vehicles_spawned,vehicles_exited,pedestrians_spawned,pedestrians_exited,vehicle_throughput_per_min,pedestrian_throughput_per_min
5.01,fixed,7,6,7,0,6,0,0.00,0.00
10.02,fixed,10,10,14,4,10,0,23.95,0.00
15.03,fixed,14,13,22,8,15,2,31.94,7.99
20.03,fixed,18,16,29,11,20,4,32.95,11.98
25.04,fixed,20,18,35,15,24,6,35.94,14.37
30.05,fixed,21,23,40,19,29,6,37.94,11.98
35.06,fixed,15,18,42,27,34,16,46.20,27.38
40.07,fixed,12,20,44,32,40,20,47.91,29.94
45.09,fixed,16,25,50,34,45,20,45.25,26.62
50.10,fixed,18,30,55,37,50,20,44.31,23.95
55.11,fixed,12,17,60,48,54,37,52.26,40.28
60.12,fixed,20,19,68,48,59,40,47.90,39.92
65.13,fixed,20,22,73,53,64,42,48.83,38.69
70.13,fixed,22,25,79,57,68,43,48.76,36.79
75.14,fixed,24,29,83,59,72,43,47.11,34.33
80.15,fixed,17,35,86,69,78,43,51.66,32.19
85.16,fixed,13,41,93,80,84,43,56.37,30.30
