sim_time,mode,vehicles_alive,pedestrians_alive,vehicles_spawned,vehicles_exited,pedestrians_spawned,pedestrians_exited,vehicle_throughput_per_min,pedestrian_throughput_per_min
5.02,mqtt-smart,8,6,8,0,6,0,0.00,0.00
10.04,mqtt-smart,10,10,14,4,10,0,23.90,0.00
15.09,mqtt-smart,14,12,22,8,14,2,31.82,7.95
20.09,mqtt-smart,18,16,29,11,19,3,32.85,8.96
25.11,mqtt-smart,22,21,34,12,24,3,28.67,7.17
30.12,mqtt-smart,14,17,36,22,28,11,43.82,21.91
35.16,mqtt-smart,13,19,39,26,32,13,44.37,22.19
40.17,mqtt-smart,16,25,45,29,38,13,43.31,19.42
45.21,mqtt-smart,14,14,52,38,42,28,50.43,37.16
50.23,mqtt-smart,18,16,58,40,46,30,47.78,35.84
55.24,mqtt-smart,20,20,64,44,50,30,47.79,32.58
60.29,mqtt-smart,23,25,70,47,55,30,46.78,29.86
65.29,mqtt-smart,13,18,70,57,61,43,52.38,39.51
70.30,mqtt-smart,14,21,76,62,65,44,52.91,37.55
75.33,mqtt-smart,15,25,81,66,69,44,52.57,35.04
