sim_time,mode,vehicles_alive,pedestrians_alive,vehicles_spawned,vehicles_exited,pedestrians_spawned,pedestrians_exited,vehicle_throughput_per_min,pedestrian_throughput_per_min
5.01,fixed,7,6,7,0,6,0,0.00,0.00
10.03,fixed,10,10,14,4,10,0,23.92,0.00
15.05,fixed,16,12,23,7,14,2,27.91,7.97
20.08,fixed,23,15,34,11,19,4,32.87,11.95
25.11,fixed,22,18,40,18,24,6,43.01,14.34
30.15,fixed,28,22,48,20,28,6,39.80,11.94
35.15,fixed,22,16,51,29,32,16,49.50,27.31
40.16,fixed,13,20,53,40,38,18,59.76,26.89
45.16,fixed,17,22,60,43,42,20,57.13,26.57
50.20,fixed,27,26,73,46,46,20,54.98,23.91
55.21,fixed,20,16,75,55,52,36,59.77,39.12
60.22,fixed,21,17,82,61,56,39,60.77,38.85
65.29,fixed,24,18,88,64,60,42,58.82,38.60
70.31,fixed,19,22,92,73,66,44,62.29,37.55
75.31,fixed,28,26,102,74,70,44,58.95,35.05
80.34,fixed,24,30,106,82,74,44,61.24,32.86
85.36,fixed,15,17,107,92,78,61,64.66,42.87
90.39,fixed,15,21,114,99,84,63,65.72,41.82
95.41,fixed,21,23,120,99,89,66,62.26,41.51
100.45,fixed,22,26,126,104,94,68,62.12,40.62
105.49,fixed,17,28,129,112,98,70,63.70,39.81
110.51,fixed,18,32,135,117,104,72,63.53,39.09
115.52,fixed,20,34,141,121,108,74,62.84,38.43
120.58,fixed,26,38,152,126,112,74,62.70,36.82
125.59,fixed,22,14,160,138,116,102,65.93,48.73
130.60,fixed,19,18,165,146,122,104,67.08,47.78
135.63,fixed,25,18,173,148,126,108,65.47,47.78
140.67,fixed,21,21,176,155,130,109,66.11,46.49
145.71,fixed,30,26,189,159,135,109,65.47,44.88
150.75,fixed,23,31,191,168,140,109,66.86,43.38
155.76,fixed,14,19,192,178,144,125,68.57,48.15
160.78,fixed,15,20,198,183,148,128,68.29,47.77
165.80,fixed,26,26,210,184,154,128,66.59,46.32
170.83,fixed,23,15,215,192,158,143,67.44,50.23
175.87,fixed,21,15,221,200,162,147,68.23,50.15
180.88,fixed,27,17,229,202,166,149,67.01,49.43
185.91,fixed,20,22,231,211,173,151,68.10,48.73
190.96,fixed,29,27,244,215,178,151,67.55,47.44
