sim_time,mode,vehicles_alive,pedestrians_alive,vehicles_spawned,vehicles_exited,pedestrians_spawned,pedestrians_exited,vehicle_throughput_per_min,pedestrian_throughput_per_min
5.00,mqtt-smart,8,6,8,0,6,0,0.00,0.00
10.01,mqtt-smart,10,10,14,4,10,0,23.98,0.00
15.02,mqtt-smart,15,12,22,7,14,2,27.96,7.99
20.04,mqtt-smart,16,16,28,12,20,4,35.92,11.97
25.05,mqtt-smart,22,20,35,13,24,4,31.14,9.58
30.08,mqtt-smart,14,16,37,23,28,12,45.88,23.94
35.11,mqtt-smart,14,19,41,27,33,14,46.14,23.92
40.11,mqtt-smart,18,24,47,29,38,14,43.38,20.94
45.13,mqtt-smart,12,14,52,40,42,28,53.17,37.22
50.18,mqtt-smart,18,17,59,41,47,30,49.03,35.87
55.21,mqtt-smart,20,22,64,44,52,30,47.82,32.60
60.22,mqtt-smart,24,27,70,46,57,30,45.83,29.89
