sim_time,mode,vehicles_alive,pedestrians_alive,vehicles_spawned,vehicles_exited,pedestrians_spawned,pedestrians_exited,vehicle_throughput_per_min,pedestrian_throughput_per_min
5.03,fixed,8,6,8,0,6,0,0.00,0.00
10.06,fixed,10,10,14,4,10,0,23.86,0.00
15.07,fixed,14,13,21,7,15,2,27.88,7.97
20.10,fixed,17,16,28,11,20,4,32.84,11.94
25.12,fixed,18,18,34,16,24,6,38.21,14.33
30.15,fixed,24,23,40,16,29,6,31.84,11.94
35.17,fixed,18,18,43,25,34,16,42.65,27.29
40.18,fixed,12,20,45,33,38,18,49.28,26.88
45.21,fixed,14,22,49,35,42,20,46.45,26.54
50.24,fixed,18,25,55,37,47,22,44.19,26.28
55.25,fixed,15,14,60,45,53,39,48.87,42.36
