sim_time,mode,vehicles_alive,pedestrians_alive,vehicles_spawned,vehicles_exited,pedestrians_spawned,pedestrians_exited,vehicle_throughput_per_min,pedestrian_throughput_per_min
5.01,fixed,8,6,8,0,6,0,0.00,0.00
10.02,fixed,11,10,15,4,10,0,23.95,0.00
15.03,fixed,16,13,23,7,15,2,27.94,7.98
20.05,fixed,18,16,30,12,20,4,35.91,11.97
25.05,fixed,20,18,36,16,24,6,38.32,14.37
30.05,fixed,24,23,42,18,29,6,35.94,11.98
35.06,fixed,19,28,48,29,34,6,49.63,10.27
40.06,fixed,16,22,54,38,38,16,56.92,23.97
45.07,fixed,18,26,59,41,44,18,54.58,23.96
50.07,fixed,19,29,64,45,50,21,53.92,25.16
55.08,fixed,19,31,68,49,54,23,53.38,25.05
60.09,fixed,25,36,76,51,59,23,50.92,22.96
65.10,fixed,21,41,78,57,64,23,52.53,21.20
70.12,fixed,11,19,78,67,68,49,57.33,41.93
75.13,fixed,12,22,82,70,73,51,55.90,40.73
80.15,fixed,17,26,87,70,78,52,52.41,38.93
85.15,fixed,15,14,93,78,82,68,54.96,47.91
90.16,fixed,17,15,100,83,86,71,55.24,47.25
95.17,fixed,19,19,106,87,92,73,54.85,46.02
100.19,fixed,19,22,110,91,98,76,54.50,45.52
105.19,fixed,19,23,113,94,102,79,53.62,45.06
110.20,fixed,19,27,117,98,108,81,53.36,44.10
115.21,fixed,23,31,124,101,112,81,52.60,42.18
120.22,fixed,25,35,128,103,116,81,51.41,40.43
125.23,fixed,15,20,129,114,122,102,54.62,48.87
130.23,fixed,12,22,131,119,126,104,54.83,47.91
135.24,fixed,14,24,134,120,130,106,53.24,47.03
140.25,fixed,15,28,138,123,136,108,52.62,46.20
145.26,fixed,15,30,141,126,141,111,52.04,45.85
150.26,fixed,15,32,144,129,146,114,51.51,45.52
155.28,fixed,15,37,148,133,151,114,51.39,44.05
160.29,fixed,17,42,154,137,156,114,51.28,42.67
165.29,fixed,14,16,161,147,160,144,53.36,52.27
170.31,fixed,19,20,168,149,166,146,52.49,51.44
175.32,fixed,19,22,172,153,170,148,52.36,50.65
180.33,fixed,22,24,178,156,174,150,51.91,49.91
185.33,fixed,23,30,183,160,180,150,51.80,48.56
190.34,fixed,14,18,183,169,185,167,53.27,52.64
