sim_time,mode,vehicles_alive,pedestrians_alive,vehicles_spawned,vehicles_exited,pedestrians_spawned,pedestrians_exited,vehicle_throughput_per_min,pedestrian_throughput_per_min
5.00,fixed,7,6,7,0,6,0,0.00,0.00
10.04,fixed,11,10,15,4,10,0,23.91,0.00
15.08,fixed,14,12,21,7,14,2,27.85,7.96
20.10,fixed,17,16,28,11,20,4,32.83,11.94
25.14,fixed,19,18,33,14,24,6,33.41,14.32
30.18,fixed,24,22,41,17,28,6,33.80,11.93
35.19,fixed,17,17,43,26,33,16,44.34,27.28
40.20,fixed,13,20,46,33,38,18,49.25,26.86
45.23,fixed,14,22,49,35,42,20,46.43,26.53
50.25,fixed,16,24,53,37,46,22,44.18,26.27
55.26,fixed,16,27,56,40,51,24,43.43,26.06
60.27,fixed,15,29,60,45,56,27,44.80,26.88
65.30,fixed,14,32,62,48,60,28,44.11,25.73
70.33,fixed,16,38,68,52,66,28,44.36,23.89
75.33,fixed,14,18,75,61,72,54,48.59,43.01
80.37,fixed,18,19,81,63,76,57,47.04,42.56
85.38,fixed,18,20,86,68,80,60,47.79,42.17
90.39,fixed,21,25,91,70,85,60,46.46,39.83
95.41,fixed,24,30,96,72,90,60,45.28,37.73
100.44,fixed,15,18,97,82,94,76,48.98,45.40
105.45,fixed,12,20,100,88,98,78,50.07,44.38
110.46,fixed,15,24,104,89,104,80,48.34,43.45
115.47,fixed,16,26,107,91,108,82,47.28,42.61
120.49,fixed,14,28,109,95,112,84,47.31,41.83
125.53,fixed,14,30,112,98,116,86,46.84,41.11
130.53,fixed,14,33,115,101,121,88,46.43,40.45
135.53,fixed,17,36,120,103,126,90,45.60,39.84
140.54,fixed,13,13,125,112,131,118,47.82,50.38
145.56,fixed,15,16,133,118,136,120,48.64,49.47
150.58,fixed,18,18,138,120,140,122,47.82,48.61
155.60,fixed,19,20,143,124,145,125,47.82,48.20
160.62,fixed,20,21,147,127,149,128,47.44,47.81
165.65,fixed,19,23,150,131,153,130,47.45,47.09
170.66,fixed,21,28,156,135,158,130,47.46,45.71
175.69,fixed,22,34,161,139,164,130,47.47,44.40
180.73,fixed,14,18,163,149,168,150,49.47,49.80
185.77,fixed,13,21,166,153,173,152,49.42,49.09
190.79,fixed,16,24,170,154,178,154,48.43,48.43
195.81,fixed,15,28,175,160,182,154,49.03,47.19
200.82,fixed,15,14,182,167,186,172,49.89,51.39
205.85,fixed,18,18,188,170,192,174,49.55,50.72
210.89,fixed,20,21,194,174,197,176,49.50,50.07
215.93,fixed,24,25,200,176,201,176,48.90,48.90
220.94,fixed,17,16,202,185,205,189,50.24,51.33
225.98,fixed,12,19,205,193,210,191,51.24,50.71
231.03,fixed,13,22,207,194,215,193,50.38,50.12
236.06,fixed,18,25,214,196,219,194,49.82,49.31
241.09,fixed,13,15,219,206,225,210,51.27,52.26
246.11,fixed,15,16,226,211,229,213,51.44,51.93
251.15,fixed,20,18,232,212,233,215,50.65,51.36
256.17,fixed,18,21,236,218,238,217,51.06,50.83
261.22,fixed,18,23,239,221,243,220,50.76,50.53
266.23,fixed,19,25,243,224,247,222,50.48,50.03
271.25,fixed,24,29,250,226,251,222,49.99,49.11
276.26,fixed,21,34,254,233,256,222,50.60,48.22
281.30,fixed,14,19,256,242,262,243,51.62,51.83
286.31,fixed,13,21,258,245,266,245,51.34,51.34
291.33,fixed,15,24,263,248,270,246,51.08,50.66
296.34,fixed,15,13,269,254,274,261,51.43,52.84
301.39,fixed,17,17,276,259,280,263,51.56,52.36
306.39,fixed,20,18,282,262,285,267,51.31,52.29
311.43,fixed,18,20,285,267,289,269,51.44,51.83
316.44,fixed,20,23,289,269,294,271,51.01,51.38
321.45,fixed,20,24,293,273,299,275,50.96,51.33
326.47,fixed,19,27,297,278,304,277,51.09,50.91
331.50,fixed,19,30,300,281,309,279,50.86,50.50
336.53,fixed,25,35,308,283,314,279,50.46,49.74
341.56,fixed,19,39,310,291,318,279,51.12,49.01
346.60,fixed,12,18,312,300,322,304,51.93,52.63
351.63,fixed,13,22,315,302,328,306,51.53,52.21
356.64,fixed,15,24,319,304,332,308,51.14,51.82
