sim_time,mode,vehicles_alive,pedestrians_alive,vehicles_spawned,vehicles_exited,pedestrians_spawned,pedestrians_exited,vehicle_throughput_per_min,pedestrian_throughput_per_min
5.01,mqtt-smart,7,6,7,0,6,0,0.00,0.00
10.02,mqtt-smart,10,10,13,3,10,0,17.96,0.00
15.03,mqtt-smart,15,12,22,7,14,2,27.95,7.99
20.03,mqtt-smart,18,17,29,11,20,3,32.95,8.99
25.05,mqtt-smart,23,21,35,12,24,3,28.74,7.19
30.06,mqtt-smart,15,17,36,21,28,11,41.92,21.96
35.07,mqtt-smart,13,21,39,26,34,13,44.48,22.24
40.07,mqtt-smart,17,25,46,29,38,13,43.42,19.46
45.10,mqtt-smart,12,14,51,39,42,28,51.88,37.25
50.11,mqtt-smart,19,17,59,40,47,30,47.89,35.92
55.15,mqtt-smart,21,23,65,44,53,30,47.87,32.64
60.17,mqtt-smart,23,28,71,48,58,30,47.86,29.91
65.19,mqtt-smart,15,18,72,57,62,44,52.46,40.50
70.21,mqtt-smart,13,21,75,62,67,46,52.98,39.31
75.22,mqtt-smart,15,24,79,64,72,48,51.05,38.29
80.24,mqtt-smart,15,26,82,67,76,50,50.10,37.39
85.27,mqtt-smart,15,29,85,70,81,52,49.25,36.59
90.34,mqtt-smart,16,32,88,72,86,54,47.82,35.87
95.38,mqtt-smart,15,34,91,76,90,56,47.81,35.23
100.40,mqtt-smart,16,37,96,80,95,58,47.81,34.66
105.41,mqtt-smart,16,42,101,85,100,58,48.38,33.01
110.44,mqtt-smart,16,14,108,92,104,90,49.98,48.90
115.46,mqtt-smart,19,17,113,94,109,92,48.85,47.81
120.50,mqtt-smart,23,22,120,97,114,92,48.30,45.81
125.50,mqtt-smart,22,27,124,102,119,92,48.77,43.98
130.51,mqtt-smart,14,19,126,112,125,106,51.49,48.73
135.51,mqtt-smart,16,24,132,116,130,106,51.36,46.93
140.52,mqtt-smart,14,15,137,123,134,119,52.52,50.81
145.55,mqtt-smart,15,16,144,129,138,122,53.18,50.29
150.57,mqtt-smart,18,18,150,132,142,124,52.60,49.41
155.58,mqtt-smart,24,24,157,133,148,124,51.29,47.82
160.61,mqtt-smart,19,28,159,140,152,124,52.30,46.32
165.64,mqtt-smart,14,18,162,148,156,138,53.61,49.99
170.67,mqtt-smart,15,22,166,151,162,140,53.09,49.22
175.69,mqtt-smart,15,23,169,154,166,143,52.59,48.84
180.72,mqtt-smart,15,26,171,156,171,145,51.79,48.14
185.73,mqtt-smart,15,28,175,160,175,147,51.69,47.49
190.76,mqtt-smart,17,33,180,163,181,148,51.27,46.55
195.76,mqtt-smart,14,13,185,171,185,172,52.41,52.72
