sim_time,mode,vehicles_alive,pedestrians_alive,vehicles_spawned,vehicles_exited,pedestrians_spawned,pedestrians_exited,vehicle_throughput_per_min,pedestrian_throughput_per_min
5.00,mqtt-smart,8,6,8,0,6,0,0.00,0.00
10.01,mqtt-smart,10,10,14,4,10,0,23.98,0.00
15.02,mqtt-smart,15,12,22,7,14,2,27.96,7.99
20.03,mqtt-smart,18,16,29,11,20,4,32.95,11.98
25.06,mqtt-smart,21,20,34,13,24,4,31.13,9.58
30.06,mqtt-smart,15,16,36,21,28,12,41.91,23.95
35.09,mqtt-smart,13,20,39,26,34,14,44.46,23.94
40.10,mqtt-smart,17,24,47,30,38,14,44.89,20.95
